content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
"sangat di sayangkan untuk pilihan non refund-non re schedule benar² tidak ada solusi, saya pernah salah memesan tanggal, tpi benar2 tidak di kasih solusi dari pihak traveloka hanya bertele-tele tidak jelas, padahal saya sudah melampirkan bukti bahwa pihak hotel telah menyetujui, thankyou pengalaman terakhir, kedepannya akan saya uninstall",sangat di sayangkan untuk pilihan non refund non re schedule benar  tidak ada solusi  saya pernah salah memesan tanggal  tpi benar tidak di kasih solusi dari pihak traveloka hanya bertele tele tidak jelas  padahal saya sudah melampirkan bukti bahwa pihak hotel telah menyetujui  thankyou pengalaman terakhir  kedepannya akan saya uninstall,sangat di sayangkan untuk pilihan non refund non re schedule benar  tidak ada solusi  saya pernah salah memesan tanggal  tpi benar tidak di kasih solusi dari pihak traveloka hanya bertele tele tidak jelas  padahal saya sudah melampirkan bukti bahwa pihak hotel telah menyetujui  thankyou pengalaman terakhir  kedepannya akan saya uninstall,sangat di sayangkan untuk pilihan non refund non re schedule benar tidak ada solusi saya pernah salah memesan tanggal tapi benar tidak di kasih solusi dari pihak traveloka hanya bertele tele tidak jelas padahal saya sudah melampirkan bukti bahwa pihak hotel telah menyetujui thankyou pengalaman terakhir kedepannya akan saya uninstall,"['sangat', 'di', 'sayangkan', 'untuk', 'pilihan', 'non', 'refund', 'non', 're', 'schedule', 'benar', 'tidak', 'ada', 'solusi', 'saya', 'pernah', 'salah', 'memesan', 'tanggal', 'tapi', 'benar', 'tidak', 'di', 'kasih', 'solusi', 'dari', 'pihak', 'traveloka', 'hanya', 'bertele', 'tele', 'tidak', 'jelas', 'padahal', 'saya', 'sudah', 'melampirkan', 'bukti', 'bahwa', 'pihak', 'hotel', 'telah', 'menyetujui', 'thankyou', 'pengalaman', 'terakhir', 'kedepannya', 'akan', 'saya', 'uninstall']","['sayangkan', 'pilihan', 'non', 'refund', 'non', 're', 'schedule', 'solusi', 'salah', 'memesan', 'tanggal', 'kasih', 'solusi', 'traveloka', 'bertele', 'tele', 'melampirkan', 'bukti', 'hotel', 'menyetujui', 'thankyou', 'pengalaman', 'kedepannya', 'uninstall']",sayang pilih non refund non re schedule solusi salah mes tanggal kasih solusi traveloka tele tele lampir bukti hotel tuju thankyou alam depan uninstall
Saya kecewa dengan aplikasi traveloka yg tidak bertanggung jawab atas refund pemesanan saya. Aplikasi engga ada tanggung jawabnya,Saya kecewa dengan aplikasi traveloka yg tidak bertanggung jawab atas refund pemesanan saya  Aplikasi engga ada tanggung jawabnya,saya kecewa dengan aplikasi traveloka yg tidak bertanggung jawab atas refund pemesanan saya  aplikasi engga ada tanggung jawabnya,saya kecewa dengan aplikasi traveloka yang tidak bertanggung jawab atas refund pemesanan saya aplikasi tidak ada tanggung jawabnya,"['saya', 'kecewa', 'dengan', 'aplikasi', 'traveloka', 'yang', 'tidak', 'bertanggung', 'jawab', 'atas', 'refund', 'pemesanan', 'saya', 'aplikasi', 'tidak', 'ada', 'tanggung', 'jawabnya']","['kecewa', 'aplikasi', 'traveloka', 'bertanggung', 'refund', 'pemesanan', 'aplikasi', 'tanggung']",kecewa aplikasi traveloka tanggung refund mesan aplikasi tanggung
Kalau butuh mobil travel dor to dor bisa install aplikasi TRAVEL KU nya ya,Kalau butuh mobil travel dor to dor bisa install aplikasi TRAVEL KU nya ya,kalau butuh mobil travel dor to dor bisa install aplikasi travel ku nya ya,kalau butuh mobil travel dor tapi dor bisa install aplikasi travel ku nya ya,"['kalau', 'butuh', 'mobil', 'travel', 'dor', 'tapi', 'dor', 'bisa', 'install', 'aplikasi', 'travel', 'ku', 'nya', 'ya']","['butuh', 'mobil', 'travel', 'dor', 'dor', 'install', 'aplikasi', 'travel', 'ku', 'nya', 'ya']",butuh mobil travel dor dor install aplikasi travel ku nya ya
"customer care payah, dibandingkan dengan aplikasi lain, misal klook, sekali pembatalan dan konfirmasi dari pihak penyedia proses refund langsung dijalankan. Ini sudah diminta menunggu 1x24 jam, besoknya diminta menunggu lagi, sampai besok besoknya lagi saja disuruh menunggu 1x24 jam, itu juga kalo ditanya. Customer care sekedar yang penting menjawab saja, ditindaklanjuti ya belakangan",customer care payah  dibandingkan dengan aplikasi lain  misal klook  sekali pembatalan dan konfirmasi dari pihak penyedia proses refund langsung dijalankan  Ini sudah diminta menunggu x jam  besoknya diminta menunggu lagi  sampai besok besoknya lagi saja disuruh menunggu x jam  itu juga kalo ditanya  Customer care sekedar yang penting menjawab saja  ditindaklanjuti ya belakangan,customer care payah  dibandingkan dengan aplikasi lain  misal klook  sekali pembatalan dan konfirmasi dari pihak penyedia proses refund langsung dijalankan  ini sudah diminta menunggu x jam  besoknya diminta menunggu lagi  sampai besok besoknya lagi saja disuruh menunggu x jam  itu juga kalo ditanya  customer care sekedar yang penting menjawab saja  ditindaklanjuti ya belakangan,customer care payah dibandingkan dengan aplikasi lain misal klook sekali pembatalan dan konfirmasi dari pihak penyedia proses refund langsung dijalankan ini sudah diminta menunggu kali jam besoknya diminta menunggu lagi sampai besok besoknya lagi saja disuruh menunggu kali jam itu juga kalau ditanya customer care sekedar yang penting menjawab saja ditindaklanjuti ya belakangan,"['customer', 'care', 'payah', 'dibandingkan', 'dengan', 'aplikasi', 'lain', 'misal', 'klook', 'sekali', 'pembatalan', 'dan', 'konfirmasi', 'dari', 'pihak', 'penyedia', 'proses', 'refund', 'langsung', 'dijalankan', 'ini', 'sudah', 'diminta', 'menunggu', 'kali', 'jam', 'besoknya', 'diminta', 'menunggu', 'lagi', 'sampai', 'besok', 'besoknya', 'lagi', 'saja', 'disuruh', 'menunggu', 'kali', 'jam', 'itu', 'juga', 'kalau', 'ditanya', 'customer', 'care', 'sekedar', 'yang', 'penting', 'menjawab', 'saja', 'ditindaklanjuti', 'ya', 'belakangan']","['customer', 'care', 'payah', 'dibandingkan', 'aplikasi', 'klook', 'pembatalan', 'konfirmasi', 'penyedia', 'proses', 'refund', 'langsung', 'dijalankan', 'menunggu', 'kali', 'jam', 'besoknya', 'menunggu', 'besok', 'besoknya', 'disuruh', 'menunggu', 'kali', 'jam', 'customer', 'care', 'sekedar', 'ditindaklanjuti', 'ya']",customer care payah banding aplikasi klook batal konfirmasi sedia proses refund langsung jalan tunggu kali jam besok tunggu besok besok suruh tunggu kali jam customer care dar ditindaklanjuti ya
Terbantu,Terbantu,terbantu,terbantu,['terbantu'],['terbantu'],bantu
"traveloka is the best,,, simple and nomber one,,, thanks traveloka",traveloka is the best    simple and nomber one    thanks traveloka,traveloka is the best    simple and nomber one    thanks traveloka,traveloka is the best simple and nomber one thanks traveloka,"['traveloka', 'is', 'the', 'best', 'simple', 'and', 'nomber', 'one', 'thanks', 'traveloka']","['traveloka', 'is', 'the', 'best', 'simple', 'and', 'nomber', 'one', 'thanks', 'traveloka']",traveloka is the best simple and nomber one thanks traveloka
mantab traveloka👍👍👍👍,mantab traveloka,mantab traveloka,mantap traveloka,"['mantap', 'traveloka']","['mantap', 'traveloka']",mantap traveloka
Tambahkan tiket kapal feri dong...,Tambahkan tiket kapal feri dong   ,tambahkan tiket kapal feri dong   ,tambahkan tiket kapal feri dong,"['tambahkan', 'tiket', 'kapal', 'feri', 'dong']","['tambahkan', 'tiket', 'kapal', 'feri']",tambah tiket kapal feri
mantapks,mantapks,mantapks,mantap,['mantap'],['mantap'],mantap
Layanannya cukup baik,Layanannya cukup baik,layanannya cukup baik,layanannya cukup baik,"['layanannya', 'cukup', 'baik']",['layanannya'],layan
TOP,TOP,top,top,['top'],['top'],top
Akhir akhir ini penerbanganku di reskedule oleh maskapai,Akhir akhir ini penerbanganku di reskedule oleh maskapai,akhir akhir ini penerbanganku di reskedule oleh maskapai,akhir akhir ini penerbanganku di reskedule oleh maskapai,"['akhir', 'akhir', 'ini', 'penerbanganku', 'di', 'reskedule', 'oleh', 'maskapai']","['penerbanganku', 'reskedule', 'maskapai']",terbang reskedule maskapai
"memudahkan segalanya, terima kasih traveloka",memudahkan segalanya  terima kasih traveloka,memudahkan segalanya  terima kasih traveloka,memudahkan segalanya terima kasih traveloka,"['memudahkan', 'segalanya', 'terima', 'kasih', 'traveloka']","['memudahkan', 'terima', 'kasih', 'traveloka']",mudah terima kasih traveloka
Cocok bnget,Cocok bnget,cocok bnget,cocok banget,"['cocok', 'banget']","['cocok', 'banget']",cocok banget
saya dulu punya aplikasi traveloka sekarang saya mau kembali memiliki aplikasi ini.,saya dulu punya aplikasi traveloka sekarang saya mau kembali memiliki aplikasi ini ,saya dulu punya aplikasi traveloka sekarang saya mau kembali memiliki aplikasi ini ,saya dulu punya aplikasi traveloka sekarang saya mau kembali memiliki aplikasi ini,"['saya', 'dulu', 'punya', 'aplikasi', 'traveloka', 'sekarang', 'saya', 'mau', 'kembali', 'memiliki', 'aplikasi', 'ini']","['aplikasi', 'traveloka', 'memiliki', 'aplikasi']",aplikasi traveloka milik aplikasi
"Nunggu tiket lama, hampir setengah jam dari pembayaran, dulu langsung di cetak setelah pembayaran. Payah",Nunggu tiket lama  hampir setengah jam dari pembayaran  dulu langsung di cetak setelah pembayaran  Payah,nunggu tiket lama  hampir setengah jam dari pembayaran  dulu langsung di cetak setelah pembayaran  payah,menunggu tiket lama hampir setengah jam dari pembayaran dulu langsung di cetak setelah pembayaran payah,"['menunggu', 'tiket', 'lama', 'hampir', 'setengah', 'jam', 'dari', 'pembayaran', 'dulu', 'langsung', 'di', 'cetak', 'setelah', 'pembayaran', 'payah']","['menunggu', 'tiket', 'jam', 'pembayaran', 'langsung', 'cetak', 'pembayaran', 'payah']",tunggu tiket jam bayar langsung cetak bayar payah
"Harga yang tampil beda saat lanjut proses ke pembayaran, pasang harga tidak sesuai harga asli, manipulasi harga",Harga yang tampil beda saat lanjut proses ke pembayaran  pasang harga tidak sesuai harga asli  manipulasi harga,harga yang tampil beda saat lanjut proses ke pembayaran  pasang harga tidak sesuai harga asli  manipulasi harga,harga yang tampil beda saat lanjut proses ke pembayaran pasang harga tidak sesuai harga asli manipulasi harga,"['harga', 'yang', 'tampil', 'beda', 'saat', 'lanjut', 'proses', 'ke', 'pembayaran', 'pasang', 'harga', 'tidak', 'sesuai', 'harga', 'asli', 'manipulasi', 'harga']","['harga', 'tampil', 'beda', 'proses', 'pembayaran', 'pasang', 'harga', 'sesuai', 'harga', 'asli', 'manipulasi', 'harga']",harga tampil beda proses bayar pasang harga sesuai harga asli manipulasi harga
mudah dalam transaksinya dan tersedia banyak fitur pembayaran tiket,mudah dalam transaksinya dan tersedia banyak fitur pembayaran tiket,mudah dalam transaksinya dan tersedia banyak fitur pembayaran tiket,mudah dalam transaksinya dan tersedia banyak fitur pembayaran tiket,"['mudah', 'dalam', 'transaksinya', 'dan', 'tersedia', 'banyak', 'fitur', 'pembayaran', 'tiket']","['mudah', 'transaksinya', 'tersedia', 'fitur', 'pembayaran', 'tiket']",mudah transaksi sedia fitur bayar tiket
semoga acc,semoga acc,semoga acc,semoga acc,"['semoga', 'acc']","['semoga', 'acc']",moga acc
Sangat dipercaya,Sangat dipercaya,sangat dipercaya,sangat dipercaya,"['sangat', 'dipercaya']",['dipercaya'],percaya
"Akun paylater saya di blokir setelah lama tidak digunakan, padahal catatannya juga tidak buruk. Cara mengaktifkannya kembali gimana ?",Akun paylater saya di blokir setelah lama tidak digunakan  padahal catatannya juga tidak buruk  Cara mengaktifkannya kembali gimana  ,akun paylater saya di blokir setelah lama tidak digunakan  padahal catatannya juga tidak buruk  cara mengaktifkannya kembali gimana  ,akun paylater saya di blokir setelah lama tidak digunakan padahal catatannya juga tidak buruk cara mengaktifkannya kembali bagaimana,"['akun', 'paylater', 'saya', 'di', 'blokir', 'setelah', 'lama', 'tidak', 'digunakan', 'padahal', 'catatannya', 'juga', 'tidak', 'buruk', 'cara', 'mengaktifkannya', 'kembali', 'bagaimana']","['akun', 'paylater', 'blokir', 'catatannya', 'buruk', 'mengaktifkannya']",akun paylater blokir catat buruk aktif
Bagus banget sangat membantu,Bagus banget sangat membantu,bagus banget sangat membantu,bagus banget sangat membantu,"['bagus', 'banget', 'sangat', 'membantu']","['bagus', 'banget', 'membantu']",bagus banget bantu
"Cepat, Lancar dan sesuai harapan",Cepat  Lancar dan sesuai harapan,cepat  lancar dan sesuai harapan,cepat lancar dan sesuai harapan,"['cepat', 'lancar', 'dan', 'sesuai', 'harapan']","['cepat', 'lancar', 'sesuai', 'harapan']",cepat lancar sesuai harap
"Aplikasi ga mutu, ga solutif.. pantas saja beberapa temen saya yg kerja di beberapa baNdara bilang jgn pake traveloka, tp sy masih keras kepala akhirnya sy meraSakan kerugian yg ditimbulkan oleh traveloka kpd sy, refund dipersulit, booking ini itu dipersulit, beda sama t#######.###m refund ga sampe 1x24 jam udh slesai di proses kl disini duit org ditahan kyak kita berhutang sma pihak ini 👎🏼👎🏼",Aplikasi ga mutu  ga solutif   pantas saja beberapa temen saya yg kerja di beberapa baNdara bilang jgn pake traveloka  tp sy masih keras kepala akhirnya sy meraSakan kerugian yg ditimbulkan oleh traveloka kpd sy  refund dipersulit  booking ini itu dipersulit  beda sama t           m refund ga sampe x jam udh slesai di proses kl disini duit org ditahan kyak kita berhutang sma pihak ini ,aplikasi ga mutu  ga solutif   pantas saja beberapa temen saya yg kerja di beberapa bandara bilang jgn pake traveloka  tp sy masih keras kepala akhirnya sy merasakan kerugian yg ditimbulkan oleh traveloka kpd sy  refund dipersulit  booking ini itu dipersulit  beda sama t           m refund ga sampe x jam udh slesai di proses kl disini duit org ditahan kyak kita berhutang sma pihak ini ,aplikasi tidak mutu tidak solutif pantas saja beberapa teman saya yang kerja di beberapa bandara bilang jangan pakai traveloka tapi saya masih keras kepala akhirnya saya merasakan kerugian yang ditimbulkan oleh traveloka kepada saya refund dipersulit booking ini itu dipersulit beda sama t sama refund tidak sampai kali jam sudah slesai di proses kalau disini duit orang ditahan kayak kita berhutang sama pihak ini,"['aplikasi', 'tidak', 'mutu', 'tidak', 'solutif', 'pantas', 'saja', 'beberapa', 'teman', 'saya', 'yang', 'kerja', 'di', 'beberapa', 'bandara', 'bilang', 'jangan', 'pakai', 'traveloka', 'tapi', 'saya', 'masih', 'keras', 'kepala', 'akhirnya', 'saya', 'merasakan', 'kerugian', 'yang', 'ditimbulkan', 'oleh', 'traveloka', 'kepada', 'saya', 'refund', 'dipersulit', 'booking', 'ini', 'itu', 'dipersulit', 'beda', 'sama', 't', 'sama', 'refund', 'tidak', 'sampai', 'kali', 'jam', 'sudah', 'slesai', 'di', 'proses', 'kalau', 'disini', 'duit', 'orang', 'ditahan', 'kayak', 'kita', 'berhutang', 'sama', 'pihak', 'ini']","['aplikasi', 'mutu', 'solutif', 'teman', 'kerja', 'bandara', 'bilang', 'pakai', 'traveloka', 'keras', 'kepala', 'merasakan', 'kerugian', 'ditimbulkan', 'traveloka', 'refund', 'dipersulit', 'booking', 'dipersulit', 'beda', 't', 'refund', 'kali', 'jam', 'slesai', 'proses', 'duit', 'orang', 'ditahan', 'kayak', 'berhutang']",aplikasi mutu solutif teman kerja bandara bilang pakai traveloka keras kepala rasa rugi timbul traveloka refund sulit booking sulit beda t refund kali jam slesai proses duit orang tahan kayak hutang
memudahkan memesan tiket kereta api dan hotel. baca review ya kalo mo pesen. lumayan membantu,memudahkan memesan tiket kereta api dan hotel  baca review ya kalo mo pesen  lumayan membantu,memudahkan memesan tiket kereta api dan hotel  baca review ya kalo mo pesen  lumayan membantu,memudahkan memesan tiket kereta api dan hotel baca review ya kalau mau pesan lumayan membantu,"['memudahkan', 'memesan', 'tiket', 'kereta', 'api', 'dan', 'hotel', 'baca', 'review', 'ya', 'kalau', 'mau', 'pesan', 'lumayan', 'membantu']","['memudahkan', 'memesan', 'tiket', 'kereta', 'api', 'hotel', 'baca', 'review', 'ya', 'pesan', 'lumayan', 'membantu']",mudah mes tiket kereta api hotel baca review ya pesan lumayan bantu
Aku baru mengaktifkan Apk ini dan aku kasih bintang satu dulu,Aku baru mengaktifkan Apk ini dan aku kasih bintang satu dulu,aku baru mengaktifkan apk ini dan aku kasih bintang satu dulu,aku baru mengaktifkan aplikasi ini dan aku kasih bintang satu dulu,"['aku', 'baru', 'mengaktifkan', 'aplikasi', 'ini', 'dan', 'aku', 'kasih', 'bintang', 'satu', 'dulu']","['mengaktifkan', 'aplikasi', 'kasih', 'bintang']",aktif aplikasi kasih bintang
"penambahan penumpang di tiket kereta api gabisa ditambahkan, semoga kedepannya menjadi lebih baik lagi 🙏🏻",penambahan penumpang di tiket kereta api gabisa ditambahkan  semoga kedepannya menjadi lebih baik lagi ,penambahan penumpang di tiket kereta api gabisa ditambahkan  semoga kedepannya menjadi lebih baik lagi ,penambahan penumpang di tiket kereta api tidak bisa ditambahkan semoga kedepannya menjadi lebih baik lagi,"['penambahan', 'penumpang', 'di', 'tiket', 'kereta', 'api', 'tidak', 'bisa', 'ditambahkan', 'semoga', 'kedepannya', 'menjadi', 'lebih', 'baik', 'lagi']","['penambahan', 'penumpang', 'tiket', 'kereta', 'api', 'semoga', 'kedepannya']",tambah tumpang tiket kereta api moga depan
Ambil dana di BRI tembus 50jt bahkan top up sampe 3x gak pernah ada masalah. Lah ini buat traveloka pay gak disetujui. Auto uninstall apk,Ambil dana di BRI tembus jt bahkan top up sampe x gak pernah ada masalah  Lah ini buat traveloka pay gak disetujui  Auto uninstall apk,ambil dana di bri tembus jt bahkan top up sampe x gak pernah ada masalah  lah ini buat traveloka pay gak disetujui  auto uninstall apk,ambil dana di bri tembus juta bahkan top up sampai kali tidak pernah ada masalah lah ini buat traveloka pay tidak disetujui auto uninstall aplikasi,"['ambil', 'dana', 'di', 'bri', 'tembus', 'juta', 'bahkan', 'top', 'up', 'sampai', 'kali', 'tidak', 'pernah', 'ada', 'masalah', 'lah', 'ini', 'buat', 'traveloka', 'pay', 'tidak', 'disetujui', 'auto', 'uninstall', 'aplikasi']","['ambil', 'dana', 'bri', 'tembus', 'juta', 'top', 'up', 'kali', 'traveloka', 'pay', 'disetujui', 'auto', 'uninstall', 'aplikasi']",ambil dana bri tembus juta top up kali traveloka pay tuju auto uninstall aplikasi
permudah trip,permudah trip,permudah trip,permudah trip,"['permudah', 'trip']","['permudah', 'trip']",mudah trip
susah bgt vriksi ktp nya udh jlas juga gk ke baca trs,susah bgt vriksi ktp nya udh jlas juga gk ke baca trs,susah bgt vriksi ktp nya udh jlas juga gk ke baca trs,susah banget vriksi ktp nya sudah jlas juga tidak ke baca terus,"['susah', 'banget', 'vriksi', 'ktp', 'nya', 'sudah', 'jlas', 'juga', 'tidak', 'ke', 'baca', 'terus']","['susah', 'banget', 'vriksi', 'ktp', 'nya', 'jlas', 'baca']",susah banget vriksi ktp nya jlas baca
Harga rute tidak masuk akal.. Harus transit.. Mksr Ternate.. Harus transit manado dlu.. Kecewa.. Penerbangan kacau..,Harga rute tidak masuk akal   Harus transit   Mksr Ternate   Harus transit manado dlu   Kecewa   Penerbangan kacau  ,harga rute tidak masuk akal   harus transit   mksr ternate   harus transit manado dlu   kecewa   penerbangan kacau  ,harga rute tidak masuk akal harus transit mksr ternate harus transit manado dulu kecewa penerbangan kacau,"['harga', 'rute', 'tidak', 'masuk', 'akal', 'harus', 'transit', 'mksr', 'ternate', 'harus', 'transit', 'manado', 'dulu', 'kecewa', 'penerbangan', 'kacau']","['harga', 'rute', 'masuk', 'akal', 'transit', 'mksr', 'ternate', 'transit', 'manado', 'kecewa', 'penerbangan', 'kacau']",harga rute masuk akal transit mksr ternate transit manado kecewa terbang kacau
Traveloka sangat membantu dan mempermudah setiap perjalanan saya,Traveloka sangat membantu dan mempermudah setiap perjalanan saya,traveloka sangat membantu dan mempermudah setiap perjalanan saya,traveloka sangat membantu dan mempermudah setiap perjalanan saya,"['traveloka', 'sangat', 'membantu', 'dan', 'mempermudah', 'setiap', 'perjalanan', 'saya']","['traveloka', 'membantu', 'mempermudah', 'perjalanan']",traveloka bantu mudah jalan
MASA SAYA MENGAJUKAN REFUND PADA TIKET DIKARENAKAN PERUBAHAN JADWAL GA BISA APLIKASI GA GUNA,MASA SAYA MENGAJUKAN REFUND PADA TIKET DIKARENAKAN PERUBAHAN JADWAL GA BISA APLIKASI GA GUNA,masa saya mengajukan refund pada tiket dikarenakan perubahan jadwal ga bisa aplikasi ga guna,masa saya mengajukan refund pada tiket dikarenakan perubahan jadwal tidak bisa aplikasi tidak guna,"['masa', 'saya', 'mengajukan', 'refund', 'pada', 'tiket', 'dikarenakan', 'perubahan', 'jadwal', 'tidak', 'bisa', 'aplikasi', 'tidak', 'guna']","['mengajukan', 'refund', 'tiket', 'perubahan', 'jadwal', 'aplikasi']",aju refund tiket ubah jadwal aplikasi
sesuai fungsi,sesuai fungsi,sesuai fungsi,sesuai fungsi,"['sesuai', 'fungsi']","['sesuai', 'fungsi']",sesuai fungsi
Banyak errorny,Banyak errorny,banyak errorny,banyak errorny,"['banyak', 'errorny']",['errorny'],errorny
